"国","日付","タイトル（日本語）","内容（日本語）","出展サイト","画像URL","URL"
"米国","2026-02-24","ロータス・エミラ・バトルスト・エディション、オーストラリア限定15台","オーストラリア向けに限定15台の「エミラ・ターボ・バトルスト・エディション」が発売。AMG M139エンジンをチューンして503馬力に。価格は249,900豪ドル。","Motor1","https://cdn.motor1.com/images/mgl/404J1z/s3/lotus-emira-bathurst-edition.jpg","https://www.motor1.com/news/788176/lotus-emira-turbo-bathurst-edition/"
"米国","2026-02-24","リンコン、ブロンコベースの高級オフローダー開発検討","リンコンは現在販売中のフォード・ブロンコのボディオンフレームプラットフォームをベースに、ランドローバーなどと競合する高級オフローダーを開発中で、2025〜2026年頃の登場が予想される。","Motor1","https://cdn.motor1.com/images/mgl/3WA1eK/s3/2024-lincoln-nautilus-jet-package-exterior.jpg","https://www.motor1.com/news/788168/lincoln-ford-bronco-off-roader/"
"米国","2026-02-24","Land Rover、中国向け新Freelanderを復活","Cheryと共同開発の新FreelanderはT1Xプラットフォームを採用し、EV・ER EV両方で販売予定。中国市場向けのサブブランドとして、CJLRが生産。名称は「神行者」。","CarScoops","https://www.carscoops.com/wp-content/uploads/2026/02/new-land-rover-freelander-front-3fdc.jpg","https://www.carscoops.com/2026/02/land-rover-freelander-china-suv/"
"米国","2026-02-24","リンカーン、フォード・ブロンコベースの高級オフロードSUV開発予定","リンカーンが2030年頃に発売予定のブロンコベース高級オフロードSUVを開発中で、G-Wagenやラングラーに対抗するモデルとなる。CEOはブランドの感情的・刺激的な方向性を強化する方針を示している。","Jalopnik","https://www.jalopnik.com/img/gallery/the-ford-bronco-is-reportedly-about-to-get-the-lincoln-treatment/l-intro-1771968351.jpg","https://www.jalopnik.com/2109348/lincoln-getting-ford-bronco-based-off-road-suv/"
"米国","2026-02-24","2026 Ford Mustang Mach-Eのフロントトランクは別途495ドル","2026年モデルのFord Mustang Mach-Eでは、フロントトランク（frunk）が標準装備から別途495ドルのオプションに。2025年以前モデルは標準だったが、新規購入者はこの追加料金を負担する必要がある。","Car and Driver","https://hips.hearstapps.com/hmg-prod/images/2024-ford-mustang-mach-e-rally-121-66f1845f19ea4.jpg","https://www.caranddriver.com/news/a70484277/2026-ford-mustang-mach-e-frunk-costs-extra/"
"米国","2026-02-24","リンコン、ブロンコベースでメルセデスGクラスライバル開発","リンコンは2029〜30年頃に、フォード・ブロンコのボディオンフレームプラットフォームを活用した高級オフロードSUVを開発中で、価格は10万ドル超と見られる。","Car and Driver","https://hips.hearstapps.com/hmg-prod/images/2025-lincoln-navigator-111-67ffe61b19246.jpg","https://www.caranddriver.com/news/a70484656/lincoln-bronco-based-g-wagen-rival-report/"
"米国","2026-02-24","2026 Mazda CX-5、ボディ拡大で空間向上","2026 Mazda CX-5はホイールベースを4.5インチ延長し、後席・荷室を拡大。ただし、過去のターボエンジンは廃止され、2027年にはハイブリッドモデルが登場予定。","Car and Driver","https://hips.hearstapps.com/hmg-prod/images/2026-mazda-cx-5-new-vs-old-2-6876a044d74be.jpg","https://www.caranddriver.com/news/a65338197/2026-mazda-cx-5-2025-mazda-cx-5-specs-compared/"
"米国","2026-02-24","Nissan Pathfinder、現代SUVの先駆けで2026モデル大幅刷新","2026年モデルのPathfinderは、9速AT搭載で加速・燃費が向上。3.5L V6エンジンで0-60mphに6.6秒、EPA22mpg。4WD7モード、12.3インチ画面、ProPilot Assist対応。","Car and Driver","https://hips.hearstapps.com/hmg-prod/images/social-698e4beddac9b.jpg","https://www.caranddriver.com/features/a70304145/the-pathfinder-helped-invent-the-modern-suvits-latest-evolution-shows-nissan-still-knows-the-formula2/"
"米国","2026-02-24","ランボルギーニ・ハーラカン・エボ2、VIRで153.2mph記録","612馬力のハーラカン・エボ2がVIRで153.2mphを記録。Chevrolet Corvette ZR1より12.0mph速い。","Car and Driver","https://hips.hearstapps.com/hmg-prod/images/lamborghini-huracan-super-trofeo-evo2-110-6998bded3f4db.jpg","https://www.caranddriver.com/photos/g70437645/lamborghini-huracan-super-trofeo-evo2-lightning-lap-2026-gallery/"
"米国","2026-02-24","2014 Porsche Cayman、53,400マイルで販売中","2014年式ポルシェ・カイマン、53,400マイル走行・PDKトランスミッション搭載。バージニア州で41,500ドルで販売中。販売者はメンテナンス良好と記載。","The Truth About Cars","https://cdn-fastly.thetruthaboutcars.com/media/2026/02/24/17092/used-car-of-the-day-2014-porsche-cayman.jpg?size=720x845&nocrop=1","https://www.thetruthaboutcars.com/cars/used-car-of-the-day/used-car-of-the-day-2014-porsche-cayman-45134008?utm_medium=auto&utm_source=rss&utm_campaign=all_full"
"欧州","2026-02-24","Skoda Superb、4世代目でプラットフォームをリード","SkodaはVWグループ内でリーダーシップを発揮。4代目SuperbはMQBプラットフォームで開発され、iV PHEVのバッテリー容量を25.7kWhに拡大。価格は£35,485から。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/skoda_superb_0.jpg","https://www.autocar.co.uk/car-review/skoda/superb"
"欧州","2026-02-24","Ford Puma Gen-E、月額£132で欧州市場に挑む","Ford Puma Gen-Eは月額£132（年間£3468）で leasing 可能。43.6kWhバッテリー、WLTP234km走行。充電・操作性良好で、日常使いに適す。Autocar調査に基づく実証。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/long-term-review/legacy/ford-puma-e-lt-ms-2025-jb4.jpg","https://www.autocar.co.uk/car-review/ford/puma-gen-e/long-term-reviews/%C2%A3132-month-and-72mpkwh-my-life-no-brainer-ford-puma-gen"
"欧州","2026-02-24","BYD Atto 3 Evo、2026年モデル大幅刷新","BYDが2026年モデルでAtto 3 Evoを刷新。後輪駆動化、800V対応、316km走行距離（Design）を搭載。価格はDesignが4万ポンド未満、Excellenceは4万ポンド超。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/byd-atto-3-review-2026-001.jpg","https://www.autocar.co.uk/car-review/byd/atto-3-evo"
"欧州","2026-02-24","エボルトのフェラーリ355レストモッドはV8を420馬力に強化","CoventryのEvoluto Automobiliが開発したFerrari F355 restomodは、3.5L V8を420bhpに強化。カーボン製パーツで重量を削減し、Catesby Tunnelで高速テストを実施。20,000マイル保証付きで3月から生産開始予定。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/first-drives/legacy/355_by_evoluto_front_3qtr_01.jpg","https://www.autocar.co.uk/car-news/new-cars/listen-evolutos-ferrari-355-restomod-stretches-v8-high-speed-tunnel-runs"
"欧州","2026-02-24","Lepas L8、UK初導入モデルとして確認","中国ブランドLepas（Chery傘下）がUKで販売する初モデルとしてL8 SUVを発表。マツダCX-5やトヨタRAV4をターゲットとし、プラグインハイブリッド（1.5L＋18.3kWh）を搭載予定。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/first-drives/legacy/lepas_l8_front_3_4.jpg","https://www.autocar.co.uk/car-news/new-cars/lepas-l8-confirmed-uk-first-model-jaecoo-sibling"
"欧州","2026-02-24","欧州自動車メーカー、軍事プロジェクトで事業回復へ","Renaultはフランス・レマン工場でTurgis Gaillard向け攻撃ドローン製造を開始。中国メーカーの台頭とEV転換で失われた事業を、防衛産業に転換する動きが広がっている。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/first-drives/legacy/turgis_gaillard_drone_-_getty.jpg","https://www.autocar.co.uk/car-news/business-manufacturing/european-car-companies-target-military-projects-fill-lost-business"
"欧州","2026-02-24","Vauxhall、今年発売のCorsa GSEを確認","Vauxhallは今年、276bhpの電気モーターを搭載するCorsa GSEを発売。Mokka GSEと同様の性能向上とスポーツ仕様を採用。価格は約£35,000予定。","AUTOCAR UK","https://images.cdn.autocar.co.uk/sites/autocar.co.uk/files/images/car-reviews/first-drives/legacy/vauxhall_corsa_gse_wheel.jpg","https://www.autocar.co.uk/car-news/new-cars/hot-vauxhall-corsa-confirmed-new-gse-model-arrive-year"
"欧州","2026-02-24","McLaren W1モデル、£14,995で販売中","Amalgam Collectionが製造する1:8スケールのMcLaren W1モデルが£14,995で販売。3,000時間以上かけて製作され、本物と同じCAD設計と塗装仕様を採用。限定199台の「Launch」仕様。","Auto Express","https://media.autoexpress.co.uk/image/private/s--GSEDP4O6--/t_rss_image_w_845/v1771952619/autoexpress/2026/02/McLaren%20W1%201.8%20scale%20-%20front%203_4_gjdtn8.jpg","https://www.autoexpress.co.uk/mclaren/w1/369043/mclaren-w1-costs-just-ps14995-its-shame-you-cant-drive-it"
"欧州","2026-02-24","MG Cyberster「Superleggera」の実現も、特別仕様で需要維持","MGはCybersterの軽量化版「Superleggera」を検討中で、デザインVPのKabanが「極限まで軽くする」と語る。また、2025年以降はカラーリングやホイールなどの特別仕様で販売を拡大し、Alpine A110 EV（1,450kg）との差別化を目指す。","Auto Express","https://media.autoexpress.co.uk/image/private/s--wxwuK2kk--/t_rss_image_w_845/v1719225055/autoexpress/2024/06/MG%20Cyberster%202024%20UK-7.jpg","https://www.autoexpress.co.uk/mg/cyberster/369038/hardcore-mg-cyberster-superleggera-possible-brand-wants-special-editions-boost"
"欧州","2026-02-24","Lepas L8、2026年上半期UK発売でKia Sportageに挑戦","中国のChery傘下ブランド「Lepas」がL8をUKに導入。2026年後半発売予定で、Kia SportageやBYD Sealion 5などと競合。車体はChery Tiggo 9ベースで、電動走行距離50km以上を実現。価格は£3万未満予想。","Auto Express","https://media.autoexpress.co.uk/image/private/s--AGuby0Zm--/t_rss_image_w_845/v1771863390/autoexpress/2026/02/Lepas%20L8%202026-8.jpg","https://www.autoexpress.co.uk/news/369035/new-lepas-8-heading-uk-challenge-kia-sportage"
"中国","2026-02-24","華為・ジャックのMaextro、中国インフルエンサーに43,400ドルの損害賠償判決","中国のインフルエンサー「Fraccino」が、 HuaweiとJACの高級EVブランド「Maextro」のS800のテストを「捏造」と主張した問題について、裁判所は30万人民元（43,400ドル）の賠償を判決した。一審判決は2026年2月24日に下された。","CarNewsChina - All","https://carnewschina.com/wp-content/uploads/2026/02/maextro_lawsuit.jpg","https://carnewschina.com/2026/02/24/huaweis-maextro-wins-defamation-lawsuit-ordering-43400-usd/"
"中国","2026-02-24","BYD、1,360kW液体冷却式急速充電器を大規模に展開","BYDが開発した1360kW液体冷却急速充電器を大規模に設置。1000V・1000A・1000kW仕様で、5分で約400km充電可能。中国市場での設置数はまだ少ないが、今後インフラ整備が加速する見込み。","CarNewsChina - All","https://carnewschina.com/wp-content/uploads/2026/02/e59bbee78987-107-e1771919268467-800x451.png","https://carnewschina.com/2026/02/24/byd-is-deploying-its-1360kw-liquid-cooled-flash-chargers-in-scale/"
"中国","2026-02-24","长安汽車が2026年Q3前、固体電池を試装する","长安汽車は2026年Q3までに車両に固体電池を試装し、エネルギー密度400Wh/kg、航続距離1500kmを超える予定です。その「金鐘罩」電池は长安の独立ブランドが発表し、量産計画は来年から始まります。","CarNewsChina - All","https://carnewschina.com/wp-content/uploads/2026/02/changan_ssb.jpg","https://carnewschina.com/2026/02/24/changan-to-install-solid-state-batteries-on-vehicles-before-q3-2026/"
"中国","2026-02-24","ボルボはEX30の4万台を回収した。バッテリーの火災リスクのため。","ボルボが、GEELY傘下のSunwoda製電池問題により、EX30の4万323台を全球でリコールする。ブラジルで火災が発生した後、70％充電制限を導入し、交換費用は約1億9500万ドルと見込まれる。","CarNewsChina - All","https://carnewschina.com/wp-content/uploads/2026/02/e59bbee78987-105-e1771898111686.png","https://carnewschina.com/2026/02/24/volvo-to-recalls-over-40000-electric-ex30-suvs-due-to-battery-fire-risk-report-says/"
"中国","2026-02-24","BYDは1月、欧州での新車登録台数が18,242台となり、テスラを上回った。","BYDは1月、欧州で新車登録18,242台（前年同月比165％増）を記録し、テスラの8,075台を上回った。BYDの市場シェアは1.9％に拡大。テスラは0.8％に落ち込み、2025年12月の3.0％を下回った。","CnEVPost - All","https://cdn.cnevpost.com/wp-content/uploads/2026/02/2026022410274148.jpg","https://cnevpost.com/2026/02/24/byd-tesla-jan-new-car-registrations-in-europe/"
"中国","2026-02-24","BYD、中国で大規模にメガワット充電設備の導入を開始した","BYDは中国で大規模にメガワット充電設備を導入し、2026年売上490万台（年率6%増）の回復を予測。同社は2025年3月に1MW充電器を発表、2026年にはヨーロッパで3,000基の充電設備を設置する計画。","CnEVPost - All","https://cdn.cnevpost.com/wp-content/uploads/2026/02/2026022409041432.jpg","https://cnevpost.com/2026/02/24/byd-begins-large-scale-deployment-megawatt-flash-charging-facilities/"
"中国","2026-02-24","力帆は欧州市場の拡大に向けてCCCEUに加盟する","力帆（NASDAQ:LI）がブリュッセルの中国欧州商工会議所（CCCEU）に正式加盟。同社は2025年1月にドイツ・ミュンヘンにR&Dセンターを開設。BYD、蔚来、小鹏、吉利、CATLも同会員。","CnEVPost - All","https://cdn-asia.cnevpost.com/wp-content/uploads/2026/02/2026022402340616.jpg","https://cnevpost.com/2026/02/24/li-auto-joins-ccceu/"
"中国","2026-02-24","アウディが新型RS5とRS5アバンを発表した","アウディは2026年2月19日、ヨーロッパで新型RS5およびRS5アバンを正式に発表し、RSシリーズに初めてプラグインハイブリッドシステムを搭載。総出力は639馬力、ピークトルクは825N・m。","Gasgoo CN - Class 107","https://c2.gasgoo.com/app/cn/image/app_share_defaut.png","https://auto.gasgoo.com/news/202602/24I70447585C107.shtml"
"中国","2026-02-24","雷軍が小米SU7の「赤霞紅」カラーを発表した","雷軍は馬年の開工初日、SU7の新色「赤霞紅」を発表し、これを「Dream Car」と呼んだ。初回展示車両は北京、上海、広州など7都市の30店舗にすでに到着しており、2月25日から2回目の展示車両が公開される予定だ。","Gasgoo CN - Class 107","https://imagecn.gasgoo.com/moblogo/News/160_110/2026/2/2401281739.jpg","https://auto.gasgoo.com/news/202602/24I70447677C501.shtml"
"中国","2026-02-24","トヨタのbZ Woodland電動クロスオーバーSUVが3月に米国で発売","トヨタのbZ Woodland電動クロスオーバーSUVが3月に米国で発売され、初期価格は4万5300ドル。航続距離は452キロメートルで、18インチのリムが標準装備。最小地上高は213ミリメートル、トランク容量は850リットル。","Gasgoo CN - Class 107","https://c2.gasgoo.com/app/cn/image/app_share_defaut.png","https://auto.gasgoo.com/news/202602/24I70447628C107.shtml"
"インド","2026-02-24","Dhoot Transmission、FourFront吸収でEVプラットフォーム拡大","Dhoot TransmissionがFourFrontを子会社に吸収し、EV・パワーエレクトロニクス事業を拡大。製造インフラとサプライチェーンを活用し、OEM顧客へのサービス継続と新規事業展開を狙う。","ETAuto - Auto Components","https://etimg.etb2bimg.com/thumb/img-size-41098/128750952.cms","https://auto.economictimes.indiatimes.com/news/auto-components/dhoot-transmission-to-merge-fourfront-into-subsidiary-to-scale-automotive-electronics-platform/128750952"
"インド","2026-02-24","Forvia、2026年売上減少見込む","フランスの部品メーカーForviaは、2026年売上を20〜21億ユーロに見込み、世界自動車生産台数9280万台を基にした。同社はStellantisやフォルクスワーゲンなどの供給先と、2028年までに債務比率を1.2倍に削減する計画を示す。","ETAuto - Auto Components","https://etimg.etb2bimg.com/thumb/img-size-41098/128746211.cms","https://auto.economictimes.indiatimes.com/news/auto-components/car-parts-supplier-forvia-expects-2026-sales-decline/128746211"
"インド","2026-02-24","Tenneco、インドでCAFE-3・BS-VII規制に伴う成長期待","Tennecoは、CAFE-3・BS-VII・TREM-V規制に対応する技術力で、FY28まで双桁成長を目指す。新規受注はマラーティ・スズキ向けのKharkhoda工場（投資額71クーロ）や、DaVinci DCxサスペンション技術で、輸出比率も5％から20％へ拡大する計画。","ETAuto - Auto Components","https://etimg.etb2bimg.com/thumb/img-size-53908/128736835.cms","https://auto.economictimes.indiatimes.com/news/auto-components/tenneco-sees-continued-india-growth-tailwinds-from-tighter-emission-norms-premiumisation/128736835"
"インド","2026-02-24","Volvo、4万台のEX30をバッテリー火災リスクで回収","Volvoは中国系Geely傘下のサプライヤー製バッテリーの不具合により、世界で4万323台のEX30を回収。新バッテリー交換費用は1億9500万ドルと見込まれるが、メーカーは「推定値」と説明。","ETAuto - Auto Components","https://etimg.etb2bimg.com/thumb/img-size-84858/128739957.cms","https://auto.economictimes.indiatimes.com/news/auto-components/volvo-cars-to-recall-40000-electric-suvs-worldwide-over-battery-fire-risk/128739957"
"インド","2026-02-24","ランボルギーニ、LanzadorをEVからPHEVに変更","ランボルギーニはLanzadorのEV化を中止し、PHEVとして2029年発売。顧客の需要が「ほぼゼロ」で、エンジンの「感情的体験」を重視するため。CEOはEV投資を「高額な趣味」と警鐘。","Autocar India - All","https://asset.autocarindia.com/static/news/images/20260224_115304_a5d10b2d.jpg","https://www.autocarindia.com/car-news/lamborghini-cancels-first-ev-lanzador-to-arrive-as-phev-instead-439089"
"インド","2026-02-24","Jeep Wrangler Willys 41特仕版価格と仕様","2026年モデルで41台限定。Rubiconベースに2 lakh上乗せ、Rs 70.31 lakh（税別）。新色「41 Green」、'1941'デカール、パワードサイドステップを標準装備。2.0Lターボで272ps、4WD。","Autocar India - All","https://asset.autocarindia.com/static/image-galleries/images/20260224_102611_4a5516f1.jpg","https://www.autocarindia.com/auto-images/jeep-wrangler-willys-41-special-edition-gallery-440127"
"インド","2026-02-24","Kia Syros EV、今後半年で発売予定","KiaはインドでEV6、EV9、Carens Clavis EVの後に4台目となるSyros EVを発売。テスト走行中で、今後半年以内に登場予定。","GaadiWaadi","https://gaadiwaadi.com/wp-content/uploads/2026/02/Kia-Syros-EV.jpg","https://gaadiwaadi.com/kia-syros-ev-spied-on-test-to-be-launched-later-this-year/"
"インド","2026-02-24","Jeep Wrangler Willys 1941再販、インドで発売","Jeep Indiaが1941年モデルを再販。標準Rubiconより価格がRs.20万高く、オプションパックはRs.36万。軍事歴を称える限定モデル。","GaadiWaadi","https://gaadiwaadi.com/wp-content/uploads/2025/05/Jeep-wrangler-willys-special-edition.jpg","https://gaadiwaadi.com/jeep-wrangler-willys-1941-special-edition-relaunched-in-india/"
"インド","2026-02-24","MG、G-Wagon風コンパクトEV SUVをインドでテスト中","MG MotorがインドでG-Wagon風のコンパクトEV SUVをテスト中。CLTC走行距離は301～501km。発売は近い。","GaadiWaadi","https://gaadiwaadi.com/wp-content/uploads/2026/02/chery-icar-v23-india-mg.-1.jpg","https://gaadiwaadi.com/mg-spied-testing-g-wagon-inspired-compact-electric-suv-in-india-launch-soon/"
"インド","2026-02-24","Jeep Wrangler Willys 41限定版発売、41台のみ","Jeep Indiaが2026年2月24日、1941年型Willys MBをモチーフにした限定版Wrangler Willys 41 2.0を発売。Rubiconモデルで販売価格はINR 2,00,000のプレミアム。41台限定で、オプションパーツもINR 3,60,000で提供。","IndiaCarNews","https://www.indiacarnews.com/wp-content/uploads/2026/02/Untitled-design-7.webp","https://www.indiacarnews.com/news/jeep-wrangler-willys-41-limited-edition-launched-just-41-units-67279/"
